,用户ID,评论时间,评论文本,positive_prob,sentiment,neutral_prob,negative_prob
0,酒梦入桃枝,2022-08-04 11:39,置顶我怎么感觉看过这个视频,0.9945,正面,0.0001,0.0054
1,神原千鶴,2022-08-19 23:11,我可能和大家不太一样，我首先和我妈说了我们年级第一(男)有男朋友的事情，看看她对这件事的接受度如何，但是我妈妈和我说这很正常，就算我和女孩子在一起她也可以接受，然后我很震惊地看着她，她却很温柔地和我说她早就知道了，她看我天天找那个女孩子玩的时候就已经猜到了。我妈说即使我喜欢的是女孩子，但只要我一直开心下去就可以了。,0.9262,正面,0.0004,0.0734
2,c加加你把我埋了吧,2022-08-20 18:05,"我父母是那种很传统的人，我平时衣服如果穿得偏向中性风都会被说教，更别提单身主义这种思想。
其实我自己也承认，最开始我冒出想要单身一辈子这种想法的时候还是很幼稚的，没有考虑那么多，只是单纯觉得单身一辈子好像很酷。但是随着年龄的增长，经历的事情越来越多，我真的开始严肃地思考这个问题了，我想了很久，而我得出的结论是，我想要选择一个人生活，也愿意承担后果。
但我一想到我的父母，又觉得很害怕，我自己是愿意承担后果的，但我的父母几乎不可能接受我的选择。我试过和他们谈过我的想法，但他们只是觉得荒谬，觉得我还小，不懂事，以后自己就会转变思想。我没办法，只能闭上嘴，只能等时间一年一年地过去，等到他们真的认识到我是认真的，再展开另一场漫长的战争。现在他们几乎已经忘记我曾经说过的话了，他们会当着我的面讨论我的未来，告诉我考上研究生就该找对象了，三十岁以前他们就会催婚。而我只能不吭声，静静地等着他们发现我并不会走上他们期望的道路。",0.9557,正面,0.0002,0.0441
3,Lyyyyyyyyy_t,2022-08-20 17:20,我表哥当时和我大姨说并且介绍自己男朋友给我大姨的时候，我估计全家除了我们几个小辈和几个年纪不大的姨姨舅舅们其他应该都不会同意，结果他们很平静的坐一桌吃饭还有说有笑，甚至还非常关心我表哥是不是1饭局结束后还教育我们几个小辈要思想开放，跟我们说将来就算是同性恋也要和家里人说带回家吃顿饭真的很幸运我的家很包容,0.9843,正面,0.0006,0.015
4,斜昨夜,2022-08-09 06:45,其实阿爸从你的问题中或多或少猜出来了，但能有耐心听完，真的不错了,0.972,正面,0.0033,0.0247
5,宿丶sukuno,2022-08-19 20:50,感觉up是辩论队的，我很羡慕up有勇气向家人出柜，但一想到我自己，我感觉自己真的做不到。我父母从小关系就不好，父亲是个赌鬼，这些年没怎么为这个家做贡献，还败了我妈不少心血，我一直是支持我妈离婚的，但碍于我和我妹妹的关系，她一直在忍让，终于在我高三那年她忍无可忍，迈出了这一步。对于我的事，我自认为我妈一直很开明，但是我真的做不到向她出柜，在我眼里，这么多年她为了这个家，一直过得很辛苦，所以我不忍再看见她到了这个年纪还要因为我被亲戚指指点点，承受不该有的压力，我才刚上大学，对这些事情真的无可奈何，如果可以，我很想出柜之后带着我妈换一个城市生活，而且因为我爸的缘故，我的爷爷奶奶过得也不是很好，以后肯定是需要我来养老的，同样，我也不希望在他们晚年被亲戚朋友指指点点，所以对于我来说，家人的幸福可能比我自己的感情生活重要很多，我也很希望能找到那个能和我携手一生的人（没错，我是以结婚为目的谈恋爱的那种人），如果可以，我真的希望我是个异性恋，那样我就可以像周围人一样大方地恋爱，和家人朋友分享自己的感情生活。这种事我现实中从来没有和任何人说过，但是憋着真的很难受，我也有在努力改变现状，但是真的很累，也想过就这样过一生算了，但又不甘心。我希望自己还能继续努力下去，虽然我不相信爱情，但我还是挺向往爱情的。最后，祝up幸福！,0.987,正面,0.0,0.0129
6,胖旭与胖杰OvO,2022-08-09 00:05,我坐在床边爆哭，也不知道为了什么哭，可能是因为up的阿爸很温柔吧，可能是因为我不敢吧，祝up主幸福，可能以后的某一天我也得面对这些，只希望到时候会和你一样被理解被温柔对待,0.9865,正面,0.0001,0.0133
7,看我不爽就转我钱,2022-08-16 03:01,我跟我妈妈出柜，她很惊讶，但是她说不支持不反对，其实她只要我幸福就好了，哪怕没伴侣也好，只要平安喜乐就好，但是看到别人出柜我也会想哭，出柜在国内还是比较困难的，唉，希望以后能开放吧，爱就是爱，不分性别或者其他一切的开放,0.9734,正面,0.0001,0.0265
8,kika酱yee,2022-08-16 17:01,现在跟我爸说我是男女通吃 可能会遭到谩骂 所以我打算以后工作了稳定了再说 免得不给我饭吃,0.6958,正面,0.1017,0.2024
9,假发v587,2022-08-18 17:17,我姥姥都能接受，为什么我妈妈不能理解，真的看的泪目了，我不太清楚我妈妈做为一个女孩子，为什么非要那么理性，我真的不敢告诉她我喜欢女孩子，救命,0.7008,正面,0.0007,0.2985
